names,links,research,department
Dr Henning Holle,https://www.hull.ac.uk/staff-directory/henning-holle,"


Project
Funder
Grant
Started
Status


Project
A multisensory approach to itch
Funder
British Skin Foundation
Grant
£81,000.00
Started
1 September 2015
Status
Complete


Project
An attentional bias approach to understanding and reducing the psychosocial burden of psoriasis
Funder
Psoriasis Association
Grant
£85,500.00
Started
1 January 2019
Status
Ongoing



Postgraduate supervision
Dr Holle is always very interested to hear from students, based at Hull or elsewhere, who are keen to get involved in research relating to itch perception, touch or gesture. 
 
He usually has a number of ongoing projects that require data collection. This research experience would suit students who are considering applying for PhD funding and wish to develop their research skills / publication record. 
 
Completed PhDs  
 
-  Olivia Jones (Primary Supervisor). 2013 - 2017. Exploring the Process of Itch and its Dimensionality: Investigations Using Transcranial Magnetic Stimulation. Funded by the University of Hull. 
-  Wanying Zhao (Primary Supervisor). 2014 - 2017. Exploring the role of inferior frontal and posterior temporal cortices in gesture-speech integration. Funded by the Chinese Science Council and the Hull-China Partnership. 
 
Current PhD supervisions 
- Sarah Etty (Primary Supervisor). 2019 - 2022. An attentional bias approach to Psoriasis. Funded by the Psoriasis Association. 
-  Zoe Lewis (Primary Supervisor). 2015 - 2019.  A multisensory approach to itch. Funded by the British Skin Foundation.

",Faculty of Health Sciences
Professor Adam Nicholls,https://www.hull.ac.uk/staff-directory/adam-nicholls,"


Project
Funder
Grant
Started
Status


Project
Anti-Doping Values in Coach Education - Erasmus Sport
Funder
EC European Commission
Grant
£181,728.00
Started
1 January 2017
Status
Complete


Project
Development and Validation of the Adolescent Sport Drug Inventory (ASDI) and Factors that Influence Attitudes among Adolescents
Funder
World Anti-Doping Agency
Grant
£36,950.00
Started
1 January 2014
Status
Ongoing


Project
The Effectiveness of the Play Clean Group Based and the Mobile Applications (iPlayClean) Anti-Doping Education Programs for Adolescent Athletes and their Entourage: A Randomized Control Trial
Funder
IOC International Olympic Committee
Grant
£142,289.00
Started
1 November 2016
Status
Ongoing



Postgraduate supervision
Prof Nicholls welcomes applications in the areas of doping or coping.

",Faculty of Health Sciences
Professor Esme Moniz-Cook,https://www.hull.ac.uk/staff-directory/esme-moniz-cook,"


Project
Funder
Grant
Started
Status


Project
AQUEDUCT
Funder
Nottingham University Hospitals
Grant
£23,014.00
Started
1 March 2016
Status
Ongoing


Project
Evaluation of a complex intervention of journeying through dementia, with internal pilot trial with
Funder
NIHR National Institute for Health Research
Grant
£347,720.00
Started
1 December 2015
Status
Complete


Project
PRIDE
Funder
ESRC Economic & Social Research Council
Grant
£19,221.00
Started
1 March 2014
Status
Complete



Postgraduate supervision
Professor Moniz-Cook welcomes discussion with senior staff who would like co-supervision for dementia care Masters and Doctoral student projects and / or planning, reviewing and advice on publishing Masters and Doctoral dementia research in peer review journals.

Completed PhDs 

Example: PhD (UCL)-completed 2016

Feast A, Orrell M, Charlesworth G, Melunsky N, Poland F and Moniz-Cook E (2016) 'Behavioural and Psychological Symptoms in Dementia (BPSD) and the challenges or family carers: a systematic review', British Journal of Psychiatry, 208 (5) 429-434 DOI: 10.1192/bjp.bp.114.153684

Feast, A, Moniz-Cook, E., Stoner, C., Charlesworth G & Orrell M (2016) 'A systematic review of the relationship between Behavioural and Psychological Symptoms (BPSD) and caregiver wellbeing', International Psychogeriatrics, 28:11, 1761-1774

Feast A, Orrell M, Russell I, Charlesworth G, & Moniz-Cook E (2017) 'The contribution of caregiver psychosocial factors to distress associated with behavioural and psychological symptoms in dementia', International Journal of Geriatric Psychiatry, 32, 1,76-85 DOI: 10.1002/gps.4447

Feast A, Orrell M, Charlesworth C, Poland F, Featherstone K, Melunsky N, Moniz-Cook E (in press) 'Meta-Ethnography to Synthesise Relevant Studies: Capturing the Bigger Picture in Dementia with Challenging Behaviour within Families', Research Methods Cases: Psychology (accepted Sept 2017)

Current PhD supervisions 

Example:

Stansfield J., Stoner C., Wenbourne, J Vernooij-Dassen M, Moniz-Cook E & Orrell M (2017) 'Positive Psychology Outcome measures for family caregivers of people living with dementia: a systematic review', International Psychogeriatrics, 29(8), 1281 -1296

",Faculty of Health Sciences
Dr David Benoit,https://www.hull.ac.uk/staff-directory/david-benoit,"


Project
Funder
Grant
Started
Status


Project
Binding energy of biomolecules on ice-covered grains in the interstellar medium
Funder
Royal Astronomical Society
Grant
£1,200.00
Started
1 July 2018
Status
Complete



Postgraduate supervision
Astrobiology 
Molecular vibrational signatures in the interstellar medium 
Chemical makeup of comets and asteroids

",Faculty of Science and Engineering
Professor Bernard P Binks,https://www.hull.ac.uk/staff-directory/bernard-p-binks,"


Project
Funder
Grant
Started
Status


Project
Catalyst Cascade Reactions in ‘One-Flow’ within a Compartmentalized, Green-Solvent ‘Digital Synthesis Machinery’ – End-to-End Green Process Design for Pharmaceuticals
Funder
EC European Commission
Grant
£275,738.00
Started
1 January 2017
Status
Ongoing


Project
Emulsions stabilised by soft particles
Funder
Shiseido
Grant
£87,886.00
Started
1 March 2015
Status
Complete


Project
Crude Oil Pour Point Depressants – Screening And Design Of New Products
Funder
Lubrizol Limited
Grant
£86,262.00
Started
28 September 2015
Status
Complete



Postgraduate supervision
I welcome applications from BSc or MChem graduates with either a 1st or 2.1 Honours degree and interest in physical chemistry/nanotechnology.

Completed PhDs 

I. Marinopoulos, 2016, Photochemical and Evaporation Behaviour of Sunscreen Formulations.

S.A. Darragh, 2015, Encapsulation of Fluids by Solid Particles.

A.T. Tyowua, 2014, Solid Particles at Fluid Interfaces: Emulsions, Liquid Marbles, Dry Oil Powders and Oil Foams.

S. Mashinchi, 2014, Aqueous Foams and Aerated Oil-in-Water Emulsions Partly Stabilised by Edible Particles.

Current PhD supervisors

K. Scarth, Novel Corrosion Inhibitors of Steel Surfaces.

A.M. Bago Rodriguez, Stabilisation of Emulsion by Polyelectrolyte Complexes.

S.O. Olusanya, Oil-Water Emulsions Stabilised Solely by Organic Pigment Particles.

C. Holmes, Wax Inhibition in Oil by Polymer Addition.

H. Shi, Aqueous Foams Stabilised by Surfactant Crystals.

R. Zheng, Influence of Salt Type on the Adsorption of Hydrophilic Particles to Oil-Water Interfaces.E.S. Park, Catalytic Behaviour of Emulsions Stabilised by Macroparticles involving Palladium.

D.J. Turner, Performance of Emulsions Stabilised by Brucite Particles (MSc).

Y. Liu, Oil Foams.

",Faculty of Science and Engineering
Ms Kathleen McKay,https://www.hull.ac.uk/staff-directory/kathleen-mckay,"


Project
Funder
Grant
Started
Status


Project
Crossing Over: New Narratives of Death
Funder
AHRC Arts & Humanities Research Council
Grant
£20,239.00
Started
1 February 2017
Status
Complete



Postgraduate supervision
Kath welcomes applications in practice-led PhDs in fiction or poetry.

Current PhD supervisions 

Supervising one practice-led poetry PhD

",Faculty of Arts Cultures and Education
Dr Krysia Mazik,https://www.hull.ac.uk/staff-directory/krysia-mazik,"


Project
Funder
Grant
Started
Status


Project
Defining Favourable Conservation Status for seagrass beds
Funder
Natural England
Grant
£8,250.00
Started
1 February 2019
Status
Complete


Project
Neyland marina dredging impact study
Funder
Cascade Consulting
Grant
£6,850.00
Started
1 January 2017
Status
Complete


Project
Coastal SSSI series review implementation: scoping study of evidence requirements to support notification of managed realignment sites
Funder
Natural England
Grant
£8,530.00
Started
1 January 2018
Status
Complete


Project
Holderness MCZ
Funder
Natural England
Grant
£1,920.00
Started
1 August 2018
Status
Complete



Postgraduate supervision
Dr Mazik welcomes applications in marine and estuarine benthic ecology, particularly relating to conservation and the impacts of human activities and climate change. 
 
Completed PhDs  
 
-  Katie Smyth, Impact of hypersalinity on commercially important crustacean species (2012) 
 
Current PhD supervisions 
 
-  Catherine Mascord, Worms on Film: how, where and when did metazoans begin bioturbating microbial substrates? (with Liam Herringshaw and Daniel Parsons) 
 
MSc (research) 
 
Laura Carveth-Marshall (current) 
Kate Jones (2014) 
Emma Broomhead (2014) 
Jonathan Butterfield (2013) 
Ellen Bell (2012) 
Jane Smith (2007)

",Faculty of Science and Engineering
Professor Mike Elliott,https://www.hull.ac.uk/staff-directory/mike-elliott,"


Project
Funder
Grant
Started
Status


Project
Ecosystem-based management of esturies and coasts to support coastal adaptation - 2018-RLWK10-10723
Funder
British Council
Grant
£0.00
Started
18 June 2019
Status
Complete


Project
Evidence based approach to effect of decommissioning on MPA conservation and ecosystem services
Funder
NERC Natural Environment Research Council
Grant
£159,178.00
Started
1 February 2017
Status
Complete


Project
Assessment of the BONUS programme
Funder
BONUS Secretariat (EEIG)
Grant
£22,393.00
Started
19 September 2016
Status
Complete


Project
CERES: Climate change and European aquatic RESources
Funder
EC European Commission
Grant
£213,689.00
Started
1 March 2016
Status
Complete



Postgraduate supervision
Prof Elliott very much welcomes applications for PhD and Masters research in all of his areas of expertise.

He also welcomes visiting international postgraduates as interns, for work experience and to help them gain further skills especially in producing publications. The institute also very much welcomes and can provide facilities for visiting researchers during sabbatical periods and study leave.

Completed PhDs 

Since 1979, Prof Elliott has successfully supervised 28 PhD students and many MSc and MPhil by Research students.

Recent completed theses include

- The Effects Of Hypersaline Solutions On The Ecophysiology Of Marine Megabenthic Organisms

- The Influence Of Noise And Vibration On Marine Fishes And Invertebrates

- The Response Of Benthic Organisms To Sediment Placemen

- Marine Protected Area Governance And Conflicts

- Integrated Management Of The Humber Estuary

- The Use Of Computer Aided Tomography In Determining Benthic Bioturbation

- The Marine Law Relating To Environmental Indicators And Objectives

Current PhD supervisions 

Currently supervising PhD and MSc by Research students at Hull and other universities worldwide (e.g. Vigo University, Spain; University of Porto, Portugal (2); Murdoch University, Perth Australia; University of Western Australia; Federal University São Carlos, Brazil; University of Cadiz, Spain)

Current projects:

- Shark behaviour and energetics, Bimini (2 projects)

- Estuarine planning, management and decision support systems (2 projects)

- Environmental intergrative management of the Niger Depta, Nigeria

- Ecological functioning of estuarine habitat recreated areas

- Dynamics of estuarine fish assembalges

- Habitat use, loss and gain in estuaries (3 projects)

- Implementation of EU marine directives

- Pollutant pathways in Brazilian estuaries

- Ecosystem services and societal goods and benefits in modified estuaries

- The concept of force majeure in marine governance

- Marine Ecosystem Services And Societal Goods And Benefits

- Ecological And Economic Valuation In Marine Systems

",Faculty of Science and Engineering
Dr Jorg Hardege,https://www.hull.ac.uk/staff-directory/jorg-hardege,"


Project
Funder
Grant
Started
Status


Project
Effects of Environmental Context on Species Trait Expression in Moderating Projections of Marine Ecosystems Futures
Funder
NERC Natural Environment Research Council
Grant
£171,344.00
Started
1 January 2020
Status
Ongoing


Project
 GCRF 2019 PPF14:  Development of Rapid Detection Methods to Mediate the Impact of Cyanobacteria and Cyanotoxins in drinking water on Diarrhoea (Cholera) and related Public Health Diseases in Ghana
Funder
00 University of Hull
Grant
£28,950.00
Started
1 April 2019
Status
Complete



Postgraduate supervision
Dr Hardege welcomes MSc and PhD projects that deal with animal ecology and physiology, especially when research on animal olfaction is involved. 
 
His research group also has a major interest in applied projects in areas such as aquaculture and pest control, developing sensor for animals, plant fitness and research related to the impacts of climate change (i.e. ocean acidification). These are encouraged, as are projects linking these to past extinctions or predicting future extinctions. 
 
The group's work spans areas from behaviour to physiology, including molecular aspects as well as chemistry. 
 
Completed PhDs  
 
Over the past 17 years, Dr Hardege's research group has hosted 10 PDRAs and more than 40 postgraduate students, most of whom are now in academic positions worldwide - including in China, the USA, Portugal, Uruguay, Germany, Ghana, Saudi Arabia, Egypt and the UK. 
 
Some 18 PhD research projects have been completed under his supervision, with all but one of these externally funded. 
 
Current PhD supervisions  
 
Alsheikh N, Effects of Ocean Acidification Upon Nereidid Polychaetes (first supervisor) 
 
Alnemarie A, Impacts of Phtalates (Plastisizer) on Nereidid Polychaetes (first supervisor)

",Faculty of Science and Engineering
Professor Helen Johnston,https://www.hull.ac.uk/staff-directory/helen-johnston,"


Project
Funder
Grant
Started
Status


Project
English Prisons at War: Imprisonment during national crisis
Funder
The Leverhulme Trust
Grant
£54,416.00
Started
1 September 2019
Status
Ongoing


Project
Our Criminal Past: Our Criminal Ancestors
Funder
AHRC Arts & Humanities Research Council
Grant
£62,219.00
Started
11 May 2017
Status
Complete


Project
'Invalids', Disability and the Modern Prison
Funder
British Academy
Grant
£5,193.00
Started
1 May 2018
Status
Complete



Postgraduate supervision
I welcome applications in the fields of punishment, penal policy and contemporary imprisonment as well as studies on the history of crime, policing and punishment. 
 
Completed PhDs:  
 
Maria De Angelis (2012), Trafficking and Prostitution: Victimhood and Agency (with Dr Majella Kilkey) 
Samson Chan (2013), Colonial Penality: A Case Study of Hong Kong Penal Policy, 1945-1997 (with Professor Peter Young) 
William Davies (2015), The Pains of Imprisonment and Resettlement for Short Term Prisoners (with Professor Peter Young) 
Helen Nichols (2016), Adult Male Prisoners Experiences of Education (with Professor Gerry Johnstone) 
Rachel Dixon-Goodall (2017) Expert Evidence in Cases of Infanticide, 1688-1955 (with Tony Ward). 
Alicia Kidd (2018) The Dynamics of Contemporary Slavery and Conflict: Agency, Asylum and Accountability (with Simon Green). 
Marion Wilson (2019) Grief and Bereavement in Prison (with Liz Walker). 
Rhiannon Pickin (2019) Emotions, Perceptions and Responses to Crime and Penal Heritage (AHRC Heritage Consortium with Leeds Beckett University, with Heather Shore). 
 
Current PhD students: 
Lucie Wade, Juvenile Crime, Punishment and Reform in the West Riding of Yorkshire, 1856-1914 (AHRC Heritage Consortium with Leeds Beckett University). 
Julie Brumby, Reformatory and Industrial School Training Ships (NECAH with Leeds Beckett University).

",Faculty of Arts Cultures and Education
