,name,link,research_interest,ID
0,Miss Amy Tomlinson,https://www.hull.ac.uk/staff-directory/amy-tomlinson,"

Research interests
Sport rehabilitation 
 
Recovery interventions in collision sports 
 
Exercise rehabilitation for special populations

",1
1,Dr Ireneous Soyiri,https://www.hull.ac.uk/staff-directory/ireneous-soyiri,"

Research interests
My areas of interests include Environmental Epidemiology and Population Health. More specifically, estimating the Burden of Diseases across populations, modelling and forecasting healthcare demand such as hospital admissions using routinely collected quantitative data.  
I have worked on a number of health surveillance systems around the world, but also dedicated to finding local solutions to public health challenges in my current role.  
In addition to performing academic duties (research, teaching and supervising students’ research dissertations), I have expertise and interest in developing research databases for population health surveillance, quantitative data analyses and evaluating Public Health programmes. 
 
Research Fields: 
Air Pollution and Health, Asthma, Biostatistics, Environment, Epidemiology, Health Care Sciences & Services, Health Forecasting, Hospital Admissions, Length of Stay, Population Health, Respiratory Health, Statistical Methods, Weather and Health

",2
2, Christopher Clarke,https://www.hull.ac.uk/staff-directory/christopher-clarke,"

Postgraduate supervision
Dr Clarke would welcome applications in the area of positive experiences and wellbeing experiences, and outcomes in relation to dementia and dementia care.

",3
3, Roberto Fernandez Arrieta,https://www.hull.ac.uk/staff-directory/roberto-fernandez-arrieta,"

Research interests
Geomorphology 
Sediment Transport 
Fluid Mechanics 
Flow Visualization

",4
4,Miss Katherine Bloomfield,https://www.hull.ac.uk/staff-directory/katherine-bloomfield,"

Research interests
Public sector procurement, procurement law, contracting, risk, complex projects, project management.

",5
5,Dr Joshua Ahmed,https://www.hull.ac.uk/staff-directory/joshua-ahmed,"

Research interests
Fluvial geomorphology, floodplains, meandering rivers, pollutants, soil hydrology, flood risk, remote sensing of the environment

",6
6,Dr Jamie Cawthra,https://www.hull.ac.uk/staff-directory/jamie-cawthra,"

Research interests
Aesthetics 
Fiction and narratology 
Imagination 
Trust 
 
I am also interested in pedagogy, the pedagogy of philosophy, and the philosophy of pedagogy.  I promise these are all different things.

",7
7,Mr Yousef Golizadeh Akhlaghi,https://www.hull.ac.uk/staff-directory/yousef-golizadeh-akhlaghi,"

Research interests
Artificial intelligence 
Energy System Optimization  
Sustainable heating and cooling  
Renewable technologies 
Building energy modelling 
Ground source heat pumps  
Offshore wind turbines

",8
8,Miss Elena Bastianon,https://www.hull.ac.uk/staff-directory/elena-bastianon,None,9
9,Dr Dan Hampshire,https://www.hull.ac.uk/staff-directory/dan-hampshire,None,10
